COD_ETU,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
10010055,9,NV,2,2014,4.98,NRA,1,2014,3.4,NRA,1,2014,10,V,1,2012,10,V,2,2014,15.6,V,1,2014,8.83,NV,2,2014,0,NRA,1,2014,2.1,NRA,1,2014,4.6,NRA,1,2014,,,,,3.25,NRA,1,2014,1.2,NRA,1,2014,,,1,2014,,,,,,,,
10048488,2.7,NRA,1,2014,4.93,NRA,1,2014,2.8,NRA,1,2014,10,V,2,2014,10,V,2,2014,13.5,V,1,2014,"7,322",NV,2,2014,2.8,NRA,1,2014,1.75,NRA,1,2014,3.3,NRA,1,2014,,,,,6.5,NV,2,2014,,,,,,,1,2014,,,,,,,,
10048521,10,V,2,2014,10,V,2,2014,10.25,V,1,2013,14.2,V,1,2014,10.8,V,1,2012,15,V,1,2014,"11,708",V,2,2014,7,AC,2,2014,11.65,V,1,2014,15.7,V,1,2014,13.8,V,1,2014,11.5,V,1,2014,10,V,2,2014,"11,608",V,2,2014,,,,,,,,
10048609,10,V,2,2013,7,AC,2,2014,10.2,V,1,2014,13.6,V,1,2014,10,V,1,2013,"14,175",V,1,2014,"10,829",V,2,2014,10,V,2,2014,"12,125",V,1,2014,12.6,V,1,2014,15.9,V,1,2014,13,V,1,2014,7,AC,2,2014,"11,771",V,2,2014,,,,,,,,
10048648,12.6,V,1,2013,10,V,2,2014,10,V,1,2014,17.1,V,1,2014,10,V,2,2013,13.1,V,1,2014,"12,133",V,2,2014,,,,,7,NV,2,2014,,,,,9.3,NV,2,2014,9.75,NV,2,2014,,,,,,,1,2014,,,,,,,,
10048680,3.15,NRA,1,2014,2.93,NRA,1,2014,2.2,NRA,1,2014,8.5,NV,2,2014,8.05,NV,2,2014,12.5,V,1,2014,"6,222",NV,2,2014,2.4,NRA,1,2014,1.2,NRA,1,2014,13.4,V,1,2014,,,,,7.5,NV,2,2014,,,,,,,1,2014,,,,,,,,
10048681,7,AC,2,2014,10,V,2,2014,10,V,2,2014,13.4,V,1,2014,10,V,2,2014,13.3,V,1,2014,"10,617",V,2,2014,10,V,2,2014,"9,275",AC,2,2014,11.3,V,1,2014,17.1,V,1,2014,10.25,V,1,2014,8,AC,2,2014,"10,988",V,2,2014,,,,,,,,
10048683,7,AC,2,2014,8.48,AC,2,2014,7,AC,2,2014,14.4,V,1,2014,10,V,2,2013,15.3,V,1,2014,"10,363",V,2,2014,6.8,NV,2,2014,"5,775",NV,2,2014,12,V,1,2014,14.4,V,1,2014,14.25,V,1,2014,,,,,,,1,2014,,,,,,,,
10048701,10,V,2,2014,8.5,AC,2,2014,8,AC,2,2014,14.1,V,1,2014,10.05,V,1,2014,13.1,V,1,2014,"10,625",V,2,2014,8.5,AC,2,2014,10.45,V,1,2014,12.1,V,1,2014,13.8,V,1,2014,9.25,AC,2,2014,8,AC,2,2014,10.35,V,2,2014,,,,,,,,
10048707,2.6,NRA,1,2014,4.43,NRA,1,2014,5.2,NV,2,2014,10,V,1,2014,10,V,2,2014,13,V,1,2014,"7,538",NV,2,2014,,,,,0,NRA,1,2014,,,,,,,,,,,,,,,,,,,1,2014,,,,,,,,
10048722,4.1,NRA,1,2014,3.05,NRA,1,2014,3.4,NRA,1,2014,13.6,V,1,2014,"7,625",NV,2,2014,12.35,V,1,2014,"7,354",NV,2,2014,,,,,0,NRA,1,2014,,,,,,,,,4,NRA,1,2014,,,,,,,1,2014,,,,,,,,
10048732,10,V,2,2013,7,AC,2,2014,7,AC,2,2014,9.5,AC,2,2014,9.2,AC,2,2014,12.5,V,1,2014,9.2,AC,2,2014,7,AC,2,2014,"11,625",V,1,2014,13.4,V,1,2014,9.6,AC,2,2014,10.25,V,1,2014,10,V,2,2014,"10,313",V,2,2014,,,,,,,,
10048737,8,AC,2,2014,10,V,2,2014,7,AC,2,2014,13.8,V,1,2014,10,V,2,2013,11.8,V,1,2014,10.1,V,2,2014,5,NV,2,2014,8.6,NV,2,2014,4.6,NRA,1,2014,11.1,V,1,2014,2.5,NRA,1,2014,8,NV,2,2014,"6,633",NV,2,2014,,,,,,,,
10048752,4.35,NRA,1,2014,4.65,NRA,1,2014,5,NV,2,2014,10.3,V,1,2014,8.9,NV,2,2014,"14,175",V,1,2014,"7,896",NV,2,2014,4.2,NRA,1,2014,0,NRA,1,2014,11.4,V,1,2014,,,,,10,V,2,2014,,,,,,,1,2014,,,,,,,,
10048754,8,NV,2,2014,,,,,3.6,NRA,1,2014,10,V,2,2013,7.65,NV,2,2014,"15,025",V,1,2014,,,1,2014,5.4,NV,2,2014,"10,075",V,1,2014,10,V,2,2014,16.2,V,1,2014,9,NV,2,2014,5.5,NV,2,2014,"9,363",NV,2,2014,,,,,,,,
11010738,3.1,NRA,1,2014,2.93,NRA,1,2014,7,NV,2,2014,10.25,V,1,2013,"7,225",NV,2,2014,13.1,V,1,2014,"7,268",NV,2,2014,.8,NRA,1,2014,5,NV,2,2014,8.1,NV,2,2014,9.6,NV,2,2014,6,NV,2,2014,10,V,2,2014,"6,583",NV,2,2014,,,,,,,,
11011891,,,,,,,,,,,,,0,NRA,1,2014,,,,,0,NRA,1,2014,,,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NV,2,2014,,,,,,,,
11012531,2.25,NRA,1,2014,7.55,NV,2,2014,2.4,NRA,1,2014,10.4,V,1,2014,7.88,NV,2,2014,13,V,1,2014,"7,247",NV,2,2014,3.8,NRA,1,2014,5.1,NV,2,2014,3.2,NRA,1,2014,,,,,3.25,NRA,1,2014,,,,,,,1,2014,,,,,,,,
11012544,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NV,2,2014,,,,,0,NRA,1,2014,,,,,0,NRA,1,2014,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
11012552,,,,,,,,,,,,,9,NV,2,2014,,,,,13.5,V,1,2014,,,1,2014,.6,NRA,1,2014,,,,,12.6,V,1,2014,,,,,4,NRA,1,2014,,,,,,,1,2014,,,,,,,,
11012553,2.85,NRA,1,2014,5.18,NV,2,2014,7.5,NV,2,2014,10,V,2,2013,10,V,2,2014,13.45,V,1,2014,"8,163",NV,2,2014,4.8,NRA,1,2014,7.55,NV,2,2014,10,V,1,2014,12.3,V,1,2014,10,V,2,2014,10,V,2,2014,"9,108",NV,2,2014,,,,,,,,
11012556,10,V,1,2013,4.03,NRA,1,2014,7,NV,2,2014,10.3,V,1,2013,6.05,NV,2,2014,13.05,V,1,2014,"8,405",NV,2,2014,2.7,NRA,1,2014,9,NV,2,2014,10.1,V,1,2014,10.2,V,1,2014,9,NV,2,2014,8,NV,2,2014,"8,167",NV,2,2014,,,,,,,,
11012941,,,,,,,,,10,V,2,2014,12.5,V,1,2014,6.5,NV,2,2014,13,V,1,2014,,,1,2014,,,,,"5,125",NV,2,2014,,,,,,,,,8.5,NV,2,2014,5.45,NV,2,2014,,,1,2014,,,,,,,,
11013302,,,,,,,,,,,,,14.8,V,1,2014,,,,,8,NV,2,2014,,,1,2014,0,NRA,1,2014,,,,,0,NRA,1,2014,,,,,2.25,NRA,1,2014,,,,,,,1,2014,,,,,,,,
11013318,,,,,,,,,,,,,.8,NRA,1,2014,,,,,,,,,,,1,2014,,,,,,,,,,,,,,,,,,,,,0,NRA,1,2014,,,1,2014,,,,,,,,
11013346,7,AC,2,2014,11.23,V,1,2014,10,V,2,2013,13,V,1,2014,12.6,V,1,2012,14.5,V,1,2014,"11,388",V,2,2014,10,V,2,2014,"10,875",V,1,2014,8.5,NV,2,2014,,,,,4.25,NRA,1,2014,7.65,NV,2,2014,,,1,2014,,,,,,,,
11013349,2.9,NRA,1,2014,6.08,NV,2,2014,4.2,NRA,1,2014,11.6,V,1,2014,10,V,2,2014,15.95,V,1,2014,"8,455",NV,2,2014,2.6,NRA,1,2014,"5,125",NV,2,2014,12,V,1,2014,,,,,7,NV,2,2014,,,,,,,1,2014,,,,,,,,
11013510,10,V,2,2014,10,V,2,2014,7.5,AC,2,2014,9,AC,2,2014,10,V,2,2014,13.55,V,1,2014,"10,008",V,2,2014,5.8,NV,2,2014,5.05,NV,2,2014,14.5,V,1,2014,17.1,V,1,2014,7,NV,2,2014,,,,,,,1,2014,,,,,,,,
11013773,10,V,2,2014,7,AC,2,2014,7,AC,2,2014,14.3,V,1,2014,7.9,AC,2,2014,"14,075",V,1,2014,"10,046",V,2,2014,7.6,NV,2,2014,10.5,V,1,2014,7.3,NV,2,2014,10,V,2,2014,4.5,NRA,1,2014,10.2,V,1,2014,8.35,NV,2,2014,,,,,,,,
11013811,10,V,2,2014,14.4,V,1,2014,10.1,V,1,2014,"14,625",V,1,2013,11.95,V,1,2014,"16,925",V,1,2014,13,V,2,2014,7.8,AC,2,2014,"13,675",V,1,2014,12.1,V,1,2014,17.1,V,1,2014,12.75,V,1,2014,14,V,1,2014,"12,904",V,2,2014,,,,,,,,
11013928,4.3,NRA,1,2014,5.45,NV,2,2014,10,V,1,2014,"10,875",V,1,2013,10,V,2,2014,13.6,V,1,2014,"9,038",NV,2,2014,2.4,NRA,1,2014,10,V,2,2014,10.8,V,1,2014,14.1,V,1,2014,10,V,1,2014,10.95,V,1,2014,"9,708",NV,2,2014,,,,,,,,
12009157,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,0,NV,2,2014,,,,,0,NRA,1,2014,,,,,,,,,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12010879,12.4,V,1,2014,13.45,V,1,2014,10,V,2,2014,"12,875",V,1,2013,13.5,V,1,2014,"17,275",V,1,2014,13.25,V,2,2014,10.7,V,1,2014,16.05,V,1,2014,9,AC,2,2014,11.4,V,1,2014,13.5,V,1,2014,12.95,V,1,2014,"12,267",V,2,2014,,,,,,,,
12010889,,,,,,,,,,,,,11,V,1,2014,,,,,13,V,1,2014,,,1,2014,3.5,NRA,1,2014,,,,,10.3,V,1,2014,15.9,V,1,2014,2.25,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011014,10,V,2,2014,10,V,2,2014,10.4,V,1,2014,17.4,V,1,2014,10,V,2,2014,14.3,V,1,2014,"12,017",V,2,2014,11.8,V,1,2014,12.35,V,1,2014,10,V,2,2014,15.3,V,1,2014,8.5,AC,2,2014,12.1,V,1,2014,"11,675",V,2,2014,,,,,,,,
12011019,10.65,V,1,2013,11.3,V,1,2014,7,AC,2,2014,13.4,V,1,2014,10,V,1,2013,13.05,V,1,2014,10.9,V,2,2014,5.4,NV,2,2014,,,,,11.9,V,1,2014,,,,,9,NV,2,2014,8,NV,2,2014,,,1,2014,,,,,,,,
12011023,,,,,,,,,,,,,0,NRA,1,2014,,,,,0,NRA,1,2014,,,1,2014,0,NRA,1,2014,,,,,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011025,,,,,,,,,,,,,,,,,,,,,0,NRA,1,2014,,,1,2014,0,NRA,1,2014,,,,,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011029,10,V,2,2014,12.13,V,1,2014,10.2,V,1,2014,10,V,1,2014,10.28,V,1,2013,"13,575",V,1,2014,"11,031",V,2,2014,8.1,AC,2,2014,"12,725",V,1,2014,12.1,V,1,2014,17.7,V,1,2014,9,AC,2,2014,8.95,AC,2,2014,"11,429",V,2,2014,,,,,,,,
12011032,3.95,NRA,1,2014,15.38,V,1,2014,5.4,NV,2,2014,15.4,V,1,2014,10,V,2,2013,12,V,1,2014,"10,355",NV,2,2014,2.6,NRA,1,2014,1.5,NRA,1,2014,10.1,V,1,2014,17.7,V,1,2014,10.5,V,1,2014,,,,,,,1,2014,,,,,,,,
12011034,9.5,AC,2,2014,10,V,2,2014,8,AC,2,2014,16.6,V,1,2014,11.9,V,1,2014,16.9,V,1,2014,12.15,V,2,2014,10.6,V,1,2014,"11,675",V,1,2014,18.7,V,1,2014,15.3,V,1,2014,16.5,V,1,2014,10.6,V,1,2014,"13,896",V,1,2014,,,,,,,,
12011049,2.7,NRA,1,2014,4.75,NRA,1,2014,2.6,NRA,1,2014,10.2,V,1,2014,10,V,2,2014,12.7,V,1,2014,"7,158",NV,2,2014,.6,NRA,1,2014,0,NRA,1,2014,11.1,V,1,2014,,,,,3.25,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011056,10,V,2,2014,14.38,V,1,2014,11.73,V,1,2014,17.6,V,1,2014,13.75,V,1,2014,16.55,V,1,2014,"14,002",V,2,2014,14.5,V,1,2014,"12,525",V,1,2014,18.9,V,1,2014,17.7,V,1,2014,14,V,1,2014,,,,,,,1,2014,,,,,,,,
12011171,10,V,2,2014,7.5,AC,2,2014,10.2,V,1,2014,14.9,V,1,2014,7.8,AC,2,2014,15.4,V,1,2014,"10,967",V,2,2014,10,V,2,2014,10.3,V,1,2014,14,V,1,2014,13.8,V,1,2014,12,V,1,2014,10.05,V,1,2014,"11,692",V,2,2014,,,,,,,,
12011174,,,,,,,,,,,,,,,,,,,,,6.5,NV,2,2014,,,1,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014,,,,,,,,
12011188,10,V,2,2014,10,V,2,2014,7,AC,2,2014,10.5,V,1,2014,10,V,2,2014,13.5,V,1,2014,"10,167",V,2,2014,7.8,NV,2,2014,11.05,V,1,2014,10,V,1,2014,11.1,V,1,2014,10.25,V,1,2014,,,,,,,1,2014,,,,,,,,
12011190,,,,,,,,,,,,,10,V,2,2014,10.9,V,1,2014,14.1,V,1,2014,,,1,2014,,,,,"5,075",NV,2,2014,,,,,9.6,NV,2,2014,9,NV,2,2014,,,,,,,1,2014,,,,,,,,
12011195,2.8,NRA,1,2014,5.55,NV,2,2014,3.4,NRA,1,2014,13.2,V,1,2014,10,V,2,2014,12.5,V,1,2014,"7,908",NV,2,2014,4.6,NRA,1,2014,"5,075",NV,2,2014,10.1,V,1,2014,13.5,V,1,2014,10.25,V,1,2014,7.75,NV,2,2014,"8,546",NV,2,2014,,,,,,,,
12011201,10,V,2,2014,10.55,V,1,2014,8.5,AC,2,2014,16.5,V,1,2014,10,V,2,2014,"14,075",V,1,2014,"11,604",V,2,2014,8.6,AC,2,2014,13.05,V,1,2014,11.5,V,1,2014,13.2,V,1,2014,8.5,AC,2,2014,8.95,AC,2,2014,"10,633",V,2,2014,,,,,,,,
12011202,,,,,,,,,,,,,13.6,V,1,2014,,,,,13,V,1,2014,,,1,2014,4.4,NRA,1,2014,,,,,10,V,2,2014,12.3,V,1,2014,10,V,2,2014,,,,,,,1,2014,,,,,,,,
12011210,10,V,2,2014,7.63,AC,2,2014,10,V,1,2014,14.6,V,1,2014,10.9,V,1,2014,"15,775",V,1,2014,"11,484",V,2,2014,8.2,AC,2,2014,10.1,V,1,2014,10,V,1,2014,10,V,2,2014,10.5,V,1,2014,7.85,AC,2,2014,"9,442",AC,2,2014,,,,,,,,
12011216,10,V,2,2014,7.43,AC,2,2014,10,V,1,2014,"13,675",V,1,2013,10.95,V,1,2013,"15,475",V,1,2014,"11,255",V,2,2014,7,AC,2,2014,10.3,V,1,2014,17.5,V,1,2014,12.6,V,1,2014,13.25,V,1,2014,10,V,2,2014,"11,775",V,2,2014,,,,,,,,
12011218,,,,,,,,,8,NV,2,2014,13,V,1,2014,8.2,NV,2,2014,12.65,V,1,2014,,,1,2014,7.3,AC,2,2014,9,AC,2,2014,13.1,V,1,2014,13.2,V,1,2014,12.25,V,1,2014,10,V,2,2014,"10,808",V,2,2014,,,,,,,,
12011219,8.02,AC,2,2014,7.33,,2,2014,7.4,AC,2,2014,10,V,1,2013,10,V,2,2013,13.5,V,1,2014,"9,375",AC,2,2014,7.9,AC,2,2014,7.7,AC,2,2014,11.1,V,1,2014,13.2,V,1,2014,10.25,V,1,2014,10,V,2,2014,"10,025",V,2,2014,,,,,,,,
12011220,16.2,V,1,2013,10,V,2,2014,10.2,V,1,2014,16.2,V,1,2014,10.4,V,1,2013,14,V,1,2014,"12,833",V,2,2014,8.4,AC,2,2014,9.1,AC,2,2014,11.8,V,1,2014,10.2,V,1,2014,12,V,1,2014,11.45,V,1,2014,"10,492",V,2,2014,,,,,,,,
12011225,7,AC,2,2014,9,AC,2,2014,7,AC,2,2014,15.5,V,1,2014,11,V,1,2014,13.5,V,1,2014,10.5,V,2,2014,7,AC,2,2014,"9,025",AC,2,2014,13.5,V,1,2014,16.2,V,1,2014,7,AC,2,2014,10,V,1,2014,"10,454",V,2,2014,,,,,,,,
12011228,10,V,2,2014,10.98,V,1,2014,7,AC,2,2014,16.05,V,1,2013,10.5,V,1,2014,13,V,1,2014,"11,255",V,2,2014,10.5,V,1,2014,11.95,V,1,2014,10.2,V,1,2014,17.4,V,1,2014,10,V,1,2014,7,AC,2,2014,"11,175",V,2,2014,,,,,,,,
12011232,10,V,2,2014,10,V,2,2014,10,V,1,2014,17.6,V,1,2014,7.75,AC,2,2014,12.2,V,1,2014,"11,258",V,2,2014,5.8,NV,2,2014,10,V,2,2014,11,V,1,2014,13.8,V,1,2014,7,NV,2,2014,,,,,,,1,2014,,,,,,,,
12011239,10,V,2,2014,7.9,AC,2,2014,8,AC,2,2014,13.5,V,1,2014,"12,575",V,1,2014,13.5,V,1,2014,"10,913",V,2,2014,10,V,2,2014,10,V,1,2014,13.1,V,1,2014,12,V,1,2014,7,AC,2,2014,11.15,V,1,2014,"10,542",V,2,2014,,,,,,,,
12011250,10,V,2,2014,14.4,V,1,2014,10,V,1,2014,13,V,1,2013,13.5,V,1,2013,13.5,V,1,2014,12.4,V,2,2014,10.2,V,1,2014,12.2,V,1,2014,16,V,1,2014,17.4,V,1,2014,13.75,V,1,2014,8,AC,2,2014,"12,925",V,2,2014,,,,,,,,
12011263,11.05,V,1,2014,10,V,2,2014,10,V,2,2014,12.6,V,1,2014,10,V,2,2014,13.5,V,1,2014,"11,192",V,2,2014,10,V,2,2014,10.85,V,1,2014,,,,,,,,,10.25,V,1,2014,10,V,2,2014,,,1,2014,,,,,,,,
12011268,,,,,,,,,,,,,4.3,NRA,1,2014,,,,,4,NRA,1,2014,,,1,2014,0,NRA,1,2014,,,,,0,NRA,1,2014,0,NRA,1,2014,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011270,,,,,,,,,,,,,,,,,,,,,0,NRA,1,2014,,,1,2014,,,,,,,,,,,,,,,,,0,NRA,1,2014,,,,,,,1,2014,,,,,,,,
12011273,8,AC,2,2014,7,AC,2,2014,7,AC,2,2014,14.6,V,1,2014,10,V,2,2013,13.5,V,1,2014,"10,017",V,2,2014,7,AC,2,2014,10.35,V,1,2014,10.8,V,1,2014,16.5,V,1,2014,10,V,2,2014,8.65,AC,2,2014,10.55,V,2,2014,,,,,,,,
12011281,10,V,2,2013,7,AC,2,2014,8.5,AC,2,2014,17.7,V,1,2014,10,V,1,2013,14.7,V,1,2014,"11,317",V,2,2014,7.8,NV,2,2014,,,,,12.1,V,1,2014,16.5,V,1,2014,15.25,V,1,2014,,,,,,,1,2014,,,,,,,,
12011289,,,,,,,,,,,,,10,V,1,2014,,,,,"12,525",V,1,2014,,,1,2014,.6,NRA,1,2014,,,,,,,,,,,,,,,,,,,,,,,1,2014,,,,,,,,
12011291,12.45,V,1,2014,10.7,V,1,2014,11.4,V,1,2014,17.4,V,1,2014,10.75,V,1,2014,17.45,V,1,2014,"13,358",V,1,2014,15.4,V,1,2014,"14,825",V,1,2014,14.4,V,1,2014,17.7,V,1,2014,15.75,V,1,2014,11.2,V,1,2014,"14,879",V,1,2014,,,,,,,,
12011305,,,,,,,,,,,,,6,NV,2,2014,,,,,12.5,V,1,2014,,,1,2014,0,NRA,1,2014,,,,,0,NRA,1,2014,,,,,,,,,,,,,,,1,2014,,,,,,,,
12011306,,,,,,,,,,,,,16.1,V,1,2014,,,,,12.25,V,1,2014,,,1,2014,6,NV,2,2014,,,,,11.8,V,1,2014,,,,,11.5,V,1,2014,,,,,,,1,2014,,,,,,,,
12011309,,,,,,,,,3.4,NRA,1,2014,11,V,1,2013,"11,375",V,1,2014,13.15,V,1,2014,,,1,2014,0,NRA,1,2014,0,NRA,1,2014,10,V,2,2014,,,,,10.25,V,1,2014,,,,,,,1,2014,,,,,,,,
